iter	PRAUC	Logloss
418	0.7427595949	0.3037248767
419	0.7431176881	0.3035218396
420	0.7433640061	0.3033717119
421	0.7438844815	0.303107498
422	0.744158151	0.3029685027
423	0.7444406689	0.302815971
424	0.7447131549	0.3026514114
425	0.7451068777	0.3024489297
426	0.7454475309	0.3022538304
427	0.7456967723	0.3021200808
428	0.7459807378	0.3019761098
429	0.7463956201	0.3017582379
430	0.7466535566	0.3016214832
431	0.747127736	0.3013535543
432	0.7475271651	0.3011579082
433	0.7477609392	0.3010341339
434	0.7479889308	0.3009063992
435	0.7482049435	0.3008100904
436	0.7485171549	0.3006820129
437	0.7489566092	0.300414967
438	0.7493620676	0.3002366956
439	0.7496152003	0.30009268
440	0.7500059017	0.2998878848
441	0.7503254732	0.2997213376
442	0.750796101	0.2994784973
443	0.7511043609	0.299346849
444	0.7516061063	0.299096456
445	0.7519066924	0.2989248711
446	0.7522797093	0.2987678992
447	0.7525231593	0.2986350198
448	0.7527063532	0.2985336347
449	0.7531249674	0.2982970662
450	0.7536550233	0.2980151921
451	0.7541171269	0.2977749454
452	0.7546521187	0.2974417954
453	0.7549654242	0.2972725966
454	0.7553224739	0.2970883342
455	0.7556744423	0.2968781127
456	0.7559840519	0.2967127042
457	0.7564359197	0.2964302649
458	0.7567648735	0.2962373993
459	0.7574389112	0.2957894382
460	0.7576202281	0.295682866
461	0.7579092628	0.295490965
462	0.7581113646	0.2953864941
463	0.758408902	0.2952182909
464	0.7587692612	0.2950060558
465	0.7592436846	0.2947131325
466	0.7595303457	0.2945189067
467	0.7598723319	0.2943631991
468	0.760160438	0.2941999737
469	0.7605885873	0.2939606929
470	0.7609182418	0.2937753125
471	0.7611746643	0.2936547308
472	0.7614660245	0.2934720992
473	0.7617532918	0.2932812436
474	0.7620388568	0.2931506662
475	0.7624798296	0.2928869965
476	0.7626743959	0.2927741444
477	0.7630327892	0.2925720275
478	0.7634378066	0.2923558966
479	0.7637210321	0.2922101248
480	0.7641364818	0.2919577239
481	0.7643408504	0.2918618562
482	0.7646152005	0.2917092104
483	0.7648798805	0.2915648963
484	0.7652334961	0.2913967988
485	0.7657382384	0.2911222404
486	0.7660672333	0.2909427526
487	0.7663553731	0.2907994939
488	0.7667495562	0.2906279702
489	0.7669406893	0.2905254417
490	0.7673668548	0.2902890245
491	0.7675812754	0.2901626036
492	0.7678874598	0.2899967427
493	0.7681549142	0.2898603312
494	0.7685068598	0.289691947
495	0.7688203998	0.2895401623
496	0.7691575937	0.2892813364
497	0.7696215707	0.289038753
498	0.7698334763	0.2888863839
499	0.7699846674	0.2887908792
